model,layer,transform,M,A1_mean_pairwise_cos,cos_to_mean_mu,cos_to_mean_sigma,pca_evr_k10
bert,1.0,raw,2000,0.10407000035047531,0.3232923746109009,0.060812968760728836,"[0.032633814960718155, 0.03137991204857826, 0.028813136741518974, 0.028173081576824188, 0.0267050638794899, 0.024277927353978157, 0.02230062521994114, 0.02216082438826561, 0.02065606787800789, 0.0191030353307724]"
bert,1.0,mean_center,2000,-0.0004755424160975963,0.004969441331923008,0.15888729691505432,"[0.032633837312459946, 0.031379856169223785, 0.028813237324357033, 0.02817359007894993, 0.02670539915561676, 0.024275096133351326, 0.02231423184275627, 0.02217700146138668, 0.02065330184996128, 0.019136006012558937]"
bert,1.0,mean_center_l2,2000,-0.0004755424160975963,0.004969441331923008,0.15888729691505432,"[0.03330281376838684, 0.03185250610113144, 0.029433071613311768, 0.028563426807522774, 0.0272552240639925, 0.024179188534617424, 0.022795269265770912, 0.02218456380069256, 0.020735526457428932, 0.019308889284729958]"
bert,1.0,rm_top_pcs_1,2000,-0.00046386884059756994,0.006030183285474777,0.16618448495864868,"[0.032438453286886215, 0.029784509912133217, 0.02912287600338459, 0.027606233954429626, 0.02509428933262825, 0.02306586690247059, 0.022926045581698418, 0.021353701129555702, 0.019794058054685593, 0.019637536257505417]"
bert,1.0,rm_top_pcs_2,2000,-0.0004646024899557233,0.005969070363789797,0.15730473399162292,"[0.030783751979470253, 0.030100291594862938, 0.02853139489889145, 0.02593804895877838, 0.02384166046977043, 0.023693382740020752, 0.02206900715827942, 0.02045990712940693, 0.02030951902270317, 0.019898347556591034]"
bert,1.0,rm_top_pcs_5,2000,-0.0004679145640693605,0.005685019306838512,0.1383942812681198,"[0.028485331684350967, 0.026181381195783615, 0.02602044865489006, 0.02423931658267975, 0.02246956340968609, 0.022300561890006065, 0.02185644395649433, 0.020518366247415543, 0.019966207444667816, 0.019513573497533798]"
bert,6.0,raw,2000,0.2502118647098541,0.5005864500999451,0.07891234010457993,"[0.035478197038173676, 0.02605099231004715, 0.024163352325558662, 0.023600198328495026, 0.02084355615079403, 0.01927337422966957, 0.017169497907161713, 0.016994431614875793, 0.016149122267961502, 0.015513981692492962]"
bert,6.0,mean_center,2000,-0.0003963130002375692,0.010192405432462692,0.17153455317020416,"[0.03547821193933487, 0.026050986722111702, 0.024163346737623215, 0.023600241169333458, 0.02084377594292164, 0.01927327923476696, 0.017164111137390137, 0.01699494756758213, 0.016140468418598175, 0.0154774384573102]"
bert,6.0,mean_center_l2,2000,-0.0003963130002375692,0.010192405432462692,0.17153455317020416,"[0.0350935235619545, 0.027683502063155174, 0.026186680421233177, 0.024295931681990623, 0.021150965243577957, 0.020213762298226357, 0.017904335632920265, 0.017565293237566948, 0.016087409108877182, 0.015730872750282288]"
bert,6.0,rm_top_pcs_1,2000,-0.0004551330057438463,0.006715248804539442,0.1336992383003235,"[0.02700919657945633, 0.025052141398191452, 0.024468328803777695, 0.021610353142023087, 0.01998172141611576, 0.017801737412810326, 0.017620719969272614, 0.01674315147101879, 0.01608019322156906, 0.01519428938627243]"
bert,6.0,rm_top_pcs_2,2000,-0.0004460625641513616,0.007359379902482033,0.13530036807060242,"[0.025747578591108322, 0.025147603824734688, 0.02221043035387993, 0.020536908879876137, 0.01829429157078266, 0.018108613789081573, 0.017207259312272072, 0.01651853695511818, 0.01560183148831129, 0.01487403828650713]"
bert,6.0,rm_top_pcs_5,2000,-0.00045516257523559034,0.006713047623634338,0.11797580868005753,"[0.022157086059451103, 0.01973997801542282, 0.019538646563887596, 0.018566563725471497, 0.017837129533290863, 0.016848644241690636, 0.016073809936642647, 0.015468401834368706, 0.014838901348412037, 0.014298108406364918]"
bert,12.0,raw,2000,0.2772071063518524,0.5268477201461792,0.06976216286420822,"[0.03181470185518265, 0.027165262028574944, 0.022653549909591675, 0.019922668114304543, 0.017620844766497612, 0.017550762742757797, 0.016014350578188896, 0.015803759917616844, 0.013511097989976406, 0.012864144518971443]"
bert,12.0,mean_center,2000,-0.00030161981703713536,0.014090103097259998,0.1440865844488144,"[0.03181469067931175, 0.027165262028574944, 0.022653525695204735, 0.019922638311982155, 0.01762061007320881, 0.01755070872604847, 0.016015831381082535, 0.01580602116882801, 0.013513260520994663, 0.012867757119238377]"
bert,12.0,mean_center_l2,2000,-0.0003016197879333049,0.014090103097259998,0.1440865695476532,"[0.03193496912717819, 0.025389177724719048, 0.02293710596859455, 0.020532937720417976, 0.017883867025375366, 0.016887569800019264, 0.016767878085374832, 0.015911361202597618, 0.01339699700474739, 0.0128636434674263]"
bert,12.0,rm_top_pcs_1,2000,-0.0002843473630491644,0.014689956791698933,0.14379724860191345,"[0.0280578825622797, 0.02339795045554638, 0.020577322691679, 0.01819995976984501, 0.018127501010894775, 0.016542386263608932, 0.016321953386068344, 0.01394696906208992, 0.013265980407595634, 0.012958765029907227]"
bert,12.0,rm_top_pcs_2,2000,-0.00042642696644179523,0.008589894510805607,0.11738144606351852,"[0.02407337911427021, 0.02117134816944599, 0.018725382164120674, 0.018650896847248077, 0.017019717022776604, 0.016796546056866646, 0.014361994341015816, 0.013673217035830021, 0.013343825936317444, 0.012393920682370663]"
bert,12.0,rm_top_pcs_5,2000,-0.0004319458967074752,0.008262569084763527,0.1156831756234169,"[0.019925514236092567, 0.018183322623372078, 0.01794467307627201, 0.015343038365244865, 0.014612684957683086, 0.014256839640438557, 0.013242877088487148, 0.012934050522744656, 0.01254362240433693, 0.012171496637165546]"
glove,,raw,170,0.34048041701316833,0.5868218541145325,0.14268992841243744,"[0.0837588757276535, 0.0815410390496254, 0.0689559280872345, 0.053639721125364304, 0.047167208045721054, 0.040468480437994, 0.0378931388258934, 0.0345376692712307, 0.03220365196466446, 0.030170340090990067]"
glove,,mean_center,170,-0.005141432397067547,0.027769852429628372,0.24016666412353516,"[0.08375880122184753, 0.08154108375310898, 0.0689559131860733, 0.05363962799310684, 0.04716718569397926, 0.040468476712703705, 0.037893135100603104, 0.034537650644779205, 0.03220364823937416, 0.030170351266860962]"
glove,,mean_center_l2,170,-0.005141432397067547,0.027769848704338074,0.24016672372817993,"[0.08802168071269989, 0.07740762829780579, 0.06285843253135681, 0.054439108818769455, 0.047836851328611374, 0.041307806968688965, 0.03780099004507065, 0.03564031794667244, 0.03399397432804108, 0.02998236194252968]"
glove,,rm_top_pcs_1,170,-0.005154598504304886,0.02753317728638649,0.24951821565628052,"[0.08899515867233276, 0.07525958120822906, 0.058543235063552856, 0.05147895589470863, 0.04416799545288086, 0.0413571335375309, 0.037694938480854034, 0.03514755889773369, 0.03292842209339142, 0.03225013613700867]"
glove,,rm_top_pcs_2,170,-0.005398155190050602,0.022714560851454735,0.19307996332645416,"[0.08261161297559738, 0.06426224112510681, 0.05650791898369789, 0.048482753336429596, 0.0453973151743412, 0.041377294808626175, 0.03858109936118126, 0.036145102232694626, 0.0354006327688694, 0.029540523886680603]"
glove,,rm_top_pcs_5,170,-0.005448837764561176,0.021577002480626106,0.1795988827943802,"[0.06086064875125885, 0.05698750168085098, 0.05194111913442612, 0.048431120812892914, 0.04537324607372284, 0.044438641518354416, 0.03708240017294884, 0.03675009682774544, 0.032416682690382004, 0.03132372349500656]"
